[17:17:37] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:18:38] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:18:38] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:19:39] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:19:39] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:20:40] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:20:40] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:21:41] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:21:41] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:22:41] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:22:42] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:23:42] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:23:42] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:24:43] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:24:43] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:25:43] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:25:44] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:26:44] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:26:45] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:27:45] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:27:45] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:28:45] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:28:46] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:29:46] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:29:47] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:30:47] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:30:47] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:31:47] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:31:48] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:32:48] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:32:49] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:33:49] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:33:49] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:34:50] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:34:50] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:35:50] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:35:51] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:36:51] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:36:52] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:37:52] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:37:52] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:38:53] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:38:53] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:39:54] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:39:54] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:40:54] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:40:55] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:41:55] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:41:55] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:42:55] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:42:56] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:43:56] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:43:57] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:44:57] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:44:57] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:45:58] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:45:58] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:46:58] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:46:59] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:47:59] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:48:00] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:49:00] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:49:00] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:50:01] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:50:01] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:51:01] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:51:02] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:52:02] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:52:02] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:53:03] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:53:03] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:54:03] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:54:04] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:55:04] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:55:05] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:56:05] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:56:05] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:57:05] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:57:06] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:58:06] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:58:07] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:59:07] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[17:59:07] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:00:07] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:00:08] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:01:08] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:01:09] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:02:08] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:02:09] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:03:09] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
[18:03:10] Collected: 0, Deleted: 0 jobs, Total logs: 250/255
